feature,importance
소입로_온도_4_Zone_mean,2775.35595703125
솔트_컨베이어_온도_2_Zone_mean,2615.653076171875
소입로_온도_4_Zone_range,2516.28173828125
소입로_온도_1_Zone_mean,2324.690673828125
소입로_온도_1_Zone_max,1948.916259765625
솔트_컨베이어_온도_2_Zone_std,1257.97265625
소입로_온도_4_Zone_min,1150.25341796875
소입로_온도_4_Zone_max,1121.045166015625
솔트조_온도_2_Zone_min,891.4058837890625
건조로_온도_2_Zone_min,808.6604614257812
소입로_온도_2_Zone_max,806.8414916992188
세정기_mean,759.1599731445312
소입로_온도_3_Zone_max,755.29443359375
건조로_온도_2_Zone_range,738.504150390625
건조로_온도_2_Zone_max,714.8871459960938
소입로_온도_1_Zone_min,707.490966796875
세정기_std,643.184326171875
솔트조_온도_2_Zone_std,636.10400390625
소입로_온도_4_Zone_std,615.2354125976562
소입로_CP_값_max,602.4573364257812
건조로_온도_1_Zone_mean,582.9585571289062
건조로_온도_2_Zone_mean,494.88201904296875
솔트조_온도_1_Zone_min,483.43768310546875
소입로_온도_2_Zone_std,453.5677490234375
건조로_온도_1_Zone_min,336.649658203125
솔트조_온도_2_Zone_range,328.7017517089844
솔트_컨베이어_온도_1_Zone_std,323.371337890625
소입로_온도_3_Zone_min,312.1731872558594
솔트조_온도_1_Zone_range,291.8382568359375
소입로_온도_3_Zone_std,241.3011016845703
소입로_온도_2_Zone_min,219.874267578125
건조로_온도_1_Zone_range,218.4783477783203
소입로_온도_3_Zone_mean,199.50640869140625
소입로_온도_2_Zone_mean,196.3158721923828
소입로_CP_값_mean,182.41024780273438
소입로_온도_1_Zone_std,181.56260681152344
소입로_CP_값_std,173.5714874267578
솔트조_온도_2_Zone_max,141.26248168945312
소입로_온도_1_Zone_range,138.8148193359375
소입로_온도_2_Zone_range,137.41070556640625
건조로_온도_1_Zone_std,127.03378295898438
솔트조_온도_1_Zone_mean,121.20024871826172
소입로_CP_값_range,119.27339172363281
건조로_온도_1_Zone_max,117.2946548461914
솔트_컨베이어_온도_1_Zone_mean,102.4107666015625
솔트조_온도_2_Zone_mean,49.929840087890625
소입로_온도_3_Zone_range,31.71088409423828
