LOT_NO,feature,mean_abs_shap
HZA10,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZA10,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZA10,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA11,소입로_온도_1_Zone_mean,1.6325918436050415e-05
HZA11,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZA11,소입로_온도_2_Zone_max,6.276262998580933e-06
HZA11,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZA11,솔트조_온도_2_Zone_std,5.08186936378479e-06
HZA11,세정기_std,3.893754482269287e-06
HZA11,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZA11,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZA11,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZA11,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA14,소입로_온도_1_Zone_mean,1.2148756980895996e-05
HZA14,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZA14,소입로_온도_2_Zone_max,5.883996486663818e-06
HZA14,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZA14,세정기_std,3.893754482269287e-06
HZA14,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZA14,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZA14,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZA14,솔트조_온도_2_Zone_std,1.2715685367584227e-06
HZA14,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZB02,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZB02,소입로_온도_1_Zone_mean,8.556728363037109e-06
HZB02,소입로_온도_2_Zone_max,6.276262998580933e-06
HZB02,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZB02,솔트조_온도_2_Zone_std,4.031352698802948e-06
HZB02,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZB02,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZB02,세정기_std,2.0983535051345824e-06
HZB02,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZB02,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZB03,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZB03,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZB03,소입로_온도_2_Zone_max,6.276262998580933e-06
HZB03,솔트조_온도_2_Zone_std,5.0296264886856076e-06
HZB03,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZB03,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZB03,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZB03,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZB03,소입로_온도_1_Zone_mean,1.0854148864746093e-06
HZB03,세정기_std,9.981462359428406e-07
HZB04,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZB04,소입로_온도_1_Zone_mean,8.556728363037109e-06
HZB04,소입로_온도_2_Zone_max,6.276262998580933e-06
HZB04,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZB04,솔트조_온도_2_Zone_std,4.031352698802948e-06
HZB04,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZB04,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZB04,세정기_std,2.0983535051345824e-06
HZB04,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZB04,소입로_온도_4_Zone_max,1.6880759596824645e-06
