feature,importance
소입로_온도_2_Zone_min,143.83694458007812
건조로_온도_2_Zone_mean,86.92369079589844
건조로_온도_2_Zone_std,71.52555084228516
솔트_컨베이어_온도_2_Zone_std,46.08416748046875
건조로_온도_1_Zone_max,37.088844299316406
건조로_온도_1_Zone_mean,11.762304306030273
건조로_온도_2_Zone_min,5.605034351348877
건조로_온도_1_Zone_std,3.389737606048584
건조로_온도_2_Zone_range,2.74552845954895
소입로_온도_2_Zone_std,1.479706883430481
소입로_온도_1_Zone_std,1.3445134162902832
소입로_온도_2_Zone_mean,1.048728585243225
솔트조_온도_1_Zone_max,0.3454027473926544
소입로_온도_3_Zone_min,0.3207426369190216
솔트_컨베이어_온도_1_Zone_mean,0.08382849395275116
소입로_온도_1_Zone_mean,0.07547668367624283
소입로_온도_1_Zone_max,0.038920316845178604
솔트조_온도_1_Zone_std,0.01791887916624546
세정기_mean,0.00446331687271595
소입로_CP_값_max,0.0023361521307379007
건조로_온도_1_Zone_min,0.0018948689103126526
소입로_CP_값_std,0.0005736038438044488
소입로_온도_3_Zone_range,0.00047319402801804245
건조로_온도_2_Zone_max,0.00033744453685358167
세정기_std,0.0002655576099641621
솔트_컨베이어_온도_1_Zone_std,4.8829220759216696e-05
건조로_온도_1_Zone_range,1.840691766119562e-06
소입로_온도_3_Zone_mean,1.1362908480805345e-06
솔트조_온도_1_Zone_mean,1.1007640523530426e-06
