feature,mean_abs_shap
소입로_온도_2_Zone_min,0.00012392953872680663
건조로_온도_2_Zone_mean,6.925869592710546e-05
건조로_온도_1_Zone_max,2.4807741610627426e-05
건조로_온도_1_Zone_mean,2.1345364184756025e-05
건조로_온도_2_Zone_std,1.4033632811747101e-05
건조로_온도_1_Zone_std,7.439653398959261e-06
건조로_온도_2_Zone_min,4.881331050082257e-06
소입로_온도_1_Zone_std,2.8085217311194067e-06
소입로_온도_3_Zone_min,1.4825722869289546e-06
솔트_컨베이어_온도_2_Zone_std,1.3953292154167826e-06
건조로_온도_2_Zone_range,9.423173709135305e-07
솔트조_온도_1_Zone_max,9.28292628377676e-07
소입로_온도_2_Zone_mean,3.852661596120973e-07
솔트_컨베이어_온도_1_Zone_mean,1.4331850247751724e-07
소입로_온도_2_Zone_std,1.3708367576136403e-07
솔트조_온도_1_Zone_std,1.0945539431352363e-07
소입로_온도_1_Zone_max,1.0376467381751068e-07
소입로_CP_값_max,7.600878132507206e-08
세정기_mean,6.369900681372536e-08
건조로_온도_1_Zone_min,6.031334050931037e-08
소입로_CP_값_std,3.805631091573129e-08
소입로_온도_1_Zone_mean,3.3988491754586766e-08
솔트_컨베이어_온도_1_Zone_std,8.108793186501748e-09
건조로_온도_2_Zone_max,7.30243532942902e-09
소입로_온도_3_Zone_range,6.04992035445512e-09
세정기_std,2.3275984552272256e-09
솔트조_온도_1_Zone_mean,3.725320742600351e-10
소입로_온도_3_Zone_mean,1.7142784169041797e-10
건조로_온도_1_Zone_range,1.3382167229505477e-10
소입로_온도_4_Zone_std,0.0
솔트조_온도_2_Zone_mean,0.0
소입로_온도_1_Zone_min,0.0
솔트_컨베이어_온도_2_Zone_mean,0.0
소입로_온도_1_Zone_range,0.0
소입로_온도_2_Zone_max,0.0
솔트조_온도_2_Zone_range,0.0
솔트조_온도_2_Zone_min,0.0
솔트조_온도_2_Zone_max,0.0
솔트조_온도_2_Zone_std,0.0
솔트조_온도_1_Zone_min,0.0
솔트조_온도_1_Zone_range,0.0
소입로_온도_4_Zone_max,0.0
소입로_온도_2_Zone_range,0.0
소입로_CP_값_range,0.0
소입로_CP_값_min,0.0
소입로_온도_3_Zone_std,0.0
소입로_온도_3_Zone_max,0.0
소입로_CP_값_mean,0.0
소입로_온도_4_Zone_range,0.0
소입로_온도_4_Zone_min,0.0
소입로_온도_4_Zone_mean,0.0
