feature,mean_abs_shap
소입로_온도_4_Zone_mean,6.453469656927641e-05
소입로_온도_3_Zone_mean,5.379132101009058e-05
건조로_온도_2_Zone_range,2.8718559811281595e-05
소입로_온도_4_Zone_min,2.7862331725137185e-05
소입로_온도_4_Zone_range,2.5852276781617207e-05
소입로_온도_1_Zone_max,1.4553474991820578e-05
소입로_온도_4_Zone_max,1.4137312792414844e-05
솔트조_온도_1_Zone_mean,1.3415303684251248e-05
건조로_온도_1_Zone_mean,1.3201167213698025e-05
솔트_컨베이어_온도_2_Zone_mean,1.2883772240128632e-05
건조로_온도_1_Zone_max,1.085874920712444e-05
건조로_온도_2_Zone_mean,1.0774931616561353e-05
소입로_온도_1_Zone_std,1.0101277855939648e-05
소입로_온도_3_Zone_min,9.885969078818032e-06
솔트_컨베이어_온도_2_Zone_std,9.481713902638405e-06
건조로_온도_1_Zone_std,8.818223535375625e-06
솔트조_온도_2_Zone_std,8.330468332265006e-06
솔트조_온도_1_Zone_std,8.204335109439008e-06
소입로_온도_1_Zone_mean,7.79631762196808e-06
소입로_CP_값_mean,7.511436114477554e-06
건조로_온도_2_Zone_max,6.2213203760383785e-06
소입로_온도_2_Zone_max,5.4486137573325685e-06
소입로_온도_4_Zone_std,4.632565748856163e-06
소입로_온도_3_Zone_max,4.1216552803336194e-06
소입로_온도_2_Zone_min,4.081274134128591e-06
소입로_CP_값_max,3.934440256507936e-06
소입로_온도_2_Zone_mean,3.714043427744611e-06
솔트조_온도_2_Zone_range,3.5909759669109825e-06
솔트_컨베이어_온도_1_Zone_std,3.4933324834060463e-06
건조로_온도_1_Zone_min,3.488675964567106e-06
건조로_온도_2_Zone_std,3.208585266283776e-06
소입로_CP_값_min,3.1198018898667635e-06
솔트조_온도_1_Zone_min,3.0771443477918405e-06
세정기_std,2.9540715572359256e-06
소입로_CP_값_std,2.4068417612376602e-06
솔트조_온도_2_Zone_min,1.9803165306532106e-06
소입로_온도_3_Zone_std,1.9037521309435884e-06
세정기_mean,1.8434887758434507e-06
솔트조_온도_1_Zone_range,1.0456277833450155e-06
솔트조_온도_2_Zone_mean,9.986090295146717e-07
소입로_온도_1_Zone_min,9.780229833843402e-07
건조로_온도_2_Zone_min,9.258553489696145e-07
솔트조_온도_2_Zone_max,8.003969508396508e-07
소입로_온도_1_Zone_range,5.498842265271462e-07
소입로_온도_3_Zone_range,2.2250717741350621e-07
소입로_온도_2_Zone_range,1.9586786876844114e-07
솔트_컨베이어_온도_1_Zone_mean,1.4142081682938475e-07
소입로_온도_2_Zone_std,1.218343706633742e-07
건조로_온도_1_Zone_range,9.629526956624156e-08
솔트조_온도_1_Zone_max,6.159662102935577e-09
소입로_CP_값_range,0.0
