LOT_NO,feature,mean_abs_shap
HYM30,건조로_온도_1_Zone_mean,9.189587593078613e-05
HYM30,소입로_온도_4_Zone_mean,6.835855007171631e-05
HYM30,솔트_컨베이어_온도_2_Zone_std,2.6378712654113768e-05
HYM30,건조로_온도_1_Zone_max,2.459355592727661e-05
HYM30,소입로_온도_3_Zone_mean,2.4552862644195556e-05
HYM30,소입로_온도_4_Zone_range,2.3172543048858642e-05
HYM30,소입로_온도_4_Zone_max,1.6592384576797484e-05
HYM30,건조로_온도_2_Zone_range,1.6223312616348268e-05
HYM30,소입로_CP_값_max,1.5174432992935181e-05
HYM30,소입로_온도_2_Zone_max,1.025025486946106e-05
HZA01,소입로_CP_값_mean,7.129151344299317e-05
HZA01,소입로_온도_4_Zone_mean,2.24877667427063e-05
HZA01,건조로_온도_2_Zone_range,2.0715184211730956e-05
HZA01,소입로_온도_3_Zone_mean,1.8858128786087038e-05
HZA01,소입로_온도_4_Zone_min,1.8202619552612304e-05
HZA01,솔트_컨베이어_온도_2_Zone_std,1.701481819152832e-05
HZA01,솔트조_온도_1_Zone_mean,1.5148597955703735e-05
HZA01,소입로_온도_4_Zone_range,1.4126074314117431e-05
HZA01,솔트조_온도_2_Zone_range,1.3510231971740723e-05
HZA01,소입로_온도_4_Zone_std,1.2257108688354493e-05
HZA02,소입로_온도_1_Zone_std,3.94992995262146e-05
HZA02,소입로_온도_4_Zone_mean,2.8688781261444092e-05
HZA02,소입로_온도_3_Zone_mean,2.7893099784851076e-05
HZA02,솔트조_온도_1_Zone_std,2.7808775901794432e-05
HZA02,소입로_온도_4_Zone_min,2.2098312377929687e-05
HZA02,소입로_온도_4_Zone_max,2.088745355606079e-05
HZA02,건조로_온도_2_Zone_range,2.052711009979248e-05
HZA02,소입로_온도_4_Zone_range,1.6333051919937135e-05
HZA02,소입로_온도_2_Zone_max,1.0289300680160523e-05
HZA02,솔트조_온도_1_Zone_mean,9.97998058795929e-06
HZA05,소입로_CP_값_mean,5.267939567565918e-05
HZA05,소입로_온도_4_Zone_mean,3.685582160949707e-05
HZA05,소입로_온도_3_Zone_mean,2.7424006462097168e-05
HZA05,건조로_온도_2_Zone_range,1.8375527858734132e-05
HZA05,소입로_온도_1_Zone_max,1.632701873779297e-05
HZA05,소입로_온도_4_Zone_min,1.5802438259124757e-05
HZA05,소입로_온도_4_Zone_range,1.4844706058502197e-05
HZA05,소입로_온도_4_Zone_std,1.247874140739441e-05
HZA05,건조로_온도_2_Zone_mean,1.1022721529006958e-05
HZA05,소입로_온도_2_Zone_max,1.0299481153488159e-05
HZA06,소입로_온도_4_Zone_mean,3.51579999923706e-05
